Genome	SSU	Copy ratio	Organism	Species	Strain	
GCA_002993925	SSU_8:SSU_1:SSU_4:SSU_5:SSU_6:SSU_3:SSU_2:SSU_7	1:1:1:1:1:1:1:1	Bacillus paralicheniformis	Bacillus paralicheniformis	Bac84
GCA_002993945	SSU_3:SSU_1:SSU_4:SSU_5:SSU_6:SSU_2:SSU_7	2:1:1:1:1:1:1	Bacillus paralicheniformis	Bacillus paralicheniformis	Bac48
GCA_002995515	SSU_1	2	Magnetospirillum gryphiswaldense MSR-1	Magnetospirillum gryphiswaldense	MSR-1
GCA_002995535	SSU_1	2	Magnetospirillum gryphiswaldense	Magnetospirillum gryphiswaldense	R3/S1
GCA_002995555	SSU_1	5	Streptococcus mutans	Streptococcus mutans	LAR01
GCA_002996665	SSU_2:SSU_1	6:1	Escherichia coli	Escherichia coli	EC11
GCA_002996805	SSU_1	6	Acinetobacter baumannii	Acinetobacter baumannii	AR_0083
GCA_002996885	SSU_2:SSU_1	4:3	Serratia marcescens	Serratia marcescens	AR_0091
GCA_002996945	SSU_4:SSU_1:SSU_5:SSU_6:SSU_3:SSU_2	2:1:1:1:1:1	Escherichia coli	Escherichia coli	AR_0081
GCA_002997005	SSU_1:SSU_2	2:2	Pseudomonas aeruginosa	Pseudomonas aeruginosa	AR_0095
GCA_002997125	SSU_1:SSU_4:SSU_5:SSU_6:SSU_3:SSU_2:SSU_7	1:1:1:1:1:1:1	Serratia marcescens	Serratia marcescens	AR_0099
GCA_002997215	SSU_1:SSU_3:SSU_2:SSU_4:SSU_5:SSU_6	2:2:2:1:1:1	Vibrio cholerae	Vibrio cholerae	A1552
GCA_002997735	SSU_1	2	Chlamydia muridarum str. Nigg	Chlamydia muridarum	Nigg
GCA_002997815	SSU_1	2	Chlamydia muridarum str. Nigg	Chlamydia muridarum	Nigg
GCA_002997915	SSU_1:SSU_2	1:1	Chlamydia muridarum str. Nigg	Chlamydia muridarum	Nigg
GCA_002997935	SSU_1	2	Chlamydia muridarum str. Nigg	Chlamydia muridarum	Nigg
GCA_002997955	SSU_1	2	Chlamydia muridarum str. Nigg	Chlamydia muridarum	Nigg
GCA_002997975	SSU_1	2	Chlamydia muridarum str. Nigg	Chlamydia muridarum	Nigg
GCA_002997995	SSU_1	2	Chlamydia muridarum str. Nigg	Chlamydia muridarum	Nigg
GCA_002998015	SSU_1	2	Chlamydia muridarum str. Nigg	Chlamydia muridarum	Nigg
GCA_002998035	SSU_1	2	Chlamydia muridarum str. Nigg	Chlamydia muridarum	Nigg
GCA_002998115	SSU_1	2	Chlamydia muridarum str. Nigg	Chlamydia muridarum	Nigg
GCA_002998175	SSU_1	2	Chlamydia muridarum str. Nigg	Chlamydia muridarum	Nigg
GCA_002998235	SSU_1	2	Chlamydia muridarum str. Nigg	Chlamydia muridarum	Nigg
GCA_002998295	SSU_1:SSU_2	1:1	Fastidiosipila sanguinis	Fastidiosipila sanguinis	CCUG 47711
GCA_002998355	SSU_1:SSU_3:SSU_2	2:1:1	Victivallales bacterium CCUG 44730	Victivallales bacterium	CCUG 44730
GCA_002998435	SSU_1	4	Bacteroides zoogleoformans	Bacteroides zoogleoformans	ATCC 33285
GCA_002998535	SSU_1:SSU_2	3:1	Bacteroides heparinolyticus	Bacteroides heparinolyticus	F0111
GCA_002998595	SSU_1:SSU_4:SSU_5:SSU_6:SSU_3:SSU_2	1:1:1:1:1:1	Haemophilus sp. oral taxon 036	Haemophilus sp.	F0629
GCA_002998695	SSU_1:SSU_4:SSU_3:SSU_2	1:1:1:1	Peptostreptococcaceae bacterium oral taxon 929	Peptostreptococcaceae bacterium	W2294
GCA_002998835	SSU_1	4	Capnocytophaga sp. oral taxon 864	Capnocytophaga sp.	F0512
GCA_002998925	SSU_1	2	Mogibacterium diversum	Mogibacterium diversum	CCUG 47132
GCA_002999035	SSU_1:SSU_3:SSU_2	1:1:1	Lachnospiraceae bacterium oral taxon 500	Lachnospiraceae bacterium	W11650
GCA_002999075	SSU_1:SSU_4:SSU_5:SSU_6:SSU_3:SSU_2	2:1:1:1:1:1	Escherichia coli	Escherichia coli	AR_0374
GCA_002999115	SSU_1	6	Acinetobacter pittii	Acinetobacter pittii	WCHAP100004
GCA_002999135	SSU_1:SSU_2	3:1	Capnocytophaga sp. oral taxon 878	Capnocytophaga sp.	F0545
GCA_002999155	SSU_1:SSU_2	3:1	Dietzia sp. oral taxon 368	Dietzia sp.	W5195
GCA_002999175	SSU_3:SSU_2:SSU_1:SSU_4:SSU_5	2:2:1:1:1	Salmonella enterica subsp. enterica	Salmonella enterica	15-SA01028
GCA_002999195	SSU_1	6	Acinetobacter baumannii	Acinetobacter baumannii	WCHAB005078
GCA_002999215	SSU_1	6	Acinetobacter pittii	Acinetobacter pittii	WCHAP100020
GCA_002999235	SSU_1:SSU_3:SSU_2	1:1:1	Actinomyces sp. oral taxon 897	Actinomyces sp.	F0631
GCA_002999255	SSU_1	2	Mesoplasma florum	Mesoplasma florum	MouA-2
GCA_002999275	SSU_1	2	Mesoplasma florum	Mesoplasma florum	CnuA-2
GCA_002999295	SSU_1:SSU_2	1:1	Mesoplasma florum	Mesoplasma florum	W23
GCA_002999415	SSU_1	2	Mesoplasma florum	Mesoplasma florum	MQ3
GCA_002999435	SSU_1	2	Mesoplasma florum	Mesoplasma florum	BARC 787
GCA_003001655	SSU_1	4	Pseudomonas stutzeri	Pseudomonas stutzeri	DW2-1
GCA_003003495	SSU_1:SSU_2	3:1	Streptococcus pneumoniae	Streptococcus pneumoniae	D39V
GCA_003003515	SSU_1	3	Legionella pneumophila	Legionella pneumophila	D-4954
GCA_003006035	SSU_1	6	Acinetobacter baumannii	Acinetobacter baumannii	AR_0088
GCA_003006055	SSU_1:SSU_4:SSU_5:SSU_6:SSU_3:SSU_2	1:1:1:1:1:1	Staphylococcus simulans	Staphylococcus simulans	MR3
GCA_003006075	SSU_1:SSU_4:SSU_5:SSU_6:SSU_3:SSU_2	1:1:1:1:1:1	Staphylococcus simulans	Staphylococcus simulans	MR4
GCA_003006115	SSU_1	1	Mycobacterium tuberculosis	Mycobacterium tuberculosis	WC059
GCA_003006135	SSU_1	1	Mycobacterium tuberculosis	Mycobacterium tuberculosis	WC078
GCA_003006155	SSU_2:SSU_1	4:1	Salinicola tamaricis	Salinicola tamaricis	F01
GCA_003006175	SSU_3:SSU_1:SSU_4:SSU_5:SSU_6:SSU_2:SSU_7	2:1:1:1:1:1:1	Klebsiella pneumoniae	Klebsiella pneumoniae	DA48896
GCA_003006415	SSU_1:SSU_2:SSU_4:SSU_3	3:2:1:1	Megasphaera elsdenii	Megasphaera elsdenii	NCIMB702410
GCA_003006435	SSU_1:SSU_3:SSU_2	1:1:1	Stenotrophomonas maltophilia	Stenotrophomonas maltophilia	SJTH1
GCA_003008495	SSU_1:SSU_2	2:2	Pseudomonas stutzeri	Pseudomonas stutzeri	1W1-1A
GCA_003008515	SSU_1	2	Phreatobacter cathodiphilus	Phreatobacter cathodiphilus	S-12
GCA_003008535	SSU_1	2	Ottowia oryzae	Ottowia oryzae	KADR8-3
GCA_003008555	SSU_1	1	Thalassococcus sp. SH-1	Thalassococcus sp.	SH-1
GCA_003008575	SSU_1	3	Melaminivora sp. SC2-9	Melaminivora sp.	SC2-9
GCA_003008595	SSU_1	3	Simplicispira suum	Simplicispira suum	SC1-8
GCA_003008615	SSU_1	4	Pseudomonas mendocina	Pseudomonas mendocina	NEB698
GCA_003008635	SSU_1	5	Pseudomonas chlororaphis subsp. piscium	Pseudomonas chlororaphis	ZJU60
GCA_003010455	SSU_5:SSU_1:SSU_4:SSU_6:SSU_3:SSU_2:SSU_7	3:1:1:1:1:1:1	Weissella cibaria	Weissella cibaria	BM2
GCA_003010495	SSU_1:SSU_4:SSU_5:SSU_6:SSU_3:SSU_2:SSU_7	1:1:1:1:1:1:1	Megasphaera elsdenii DSM 20460	Megasphaera elsdenii	ATCC 25940
GCA_003010655	SSU_1	6	Acinetobacter baumannii	Acinetobacter baumannii	AR_0102
GCA_003010675	SSU_2:SSU_1	5:1	Acinetobacter baumannii	Acinetobacter baumannii	AR_0101
GCA_003010695	SSU_4:SSU_5:SSU_2:SSU_1:SSU_3	2:2:2:1:1	Enterobacter cloacae complex sp. FDA-CDC-AR_0132	Enterobacter cloacae	FDA-CDC-AR_0132
GCA_003010715	SSU_1	3	Brucella canis	Brucella canis	GB1
GCA_003010735	SSU_1:SSU_4:SSU_5:SSU_6:SSU_3:SSU_2:SSU_7	2:1:1:1:1:1:1	Klebsiella pneumoniae subsp. ozaenae	Klebsiella pneumoniae	AR_0096
GCA_003010875	SSU_5:SSU_1:SSU_4:SSU_3:SSU_2	2:1:1:1:1	Staphylococcus aureus	Staphylococcus aureus	FORC59
GCA_003012895	SSU_1	6	Acinetobacter baumannii	Acinetobacter baumannii	DS002
GCA_003012915	SSU_4:SSU_2:SSU_1:SSU_3	2:2:1:1	Staphylococcus felis	Staphylococcus felis	ATCC 49168
GCA_003013205	SSU_3:SSU_1:SSU_4:SSU_2	4:1:1:1	Escherichia coli	Escherichia coli	RM14721
GCA_003013295	SSU_1	1	Entomoplasma luminosum	Entomoplasma luminosum	NJ-2016
GCA_003013315	SSU_6:SSU_5:SSU_7:SSU_10:SSU_9:SSU_8:SSU_1:SSU_4:SSU_3:SSU_2	3:2:2:1:1:1:1:1:1:1	Bacillus cereus	Bacillus cereus	TG1-6
GCA_003013615	SSU_1	1	Clostridium botulinum	Clostridium botulinum	Mfbjulcb5
GCA_003013635	SSU_1	1	Clostridium tetani	Clostridium tetani	Mfbjulcb2
GCA_003013655	SSU_1	1	Clostridium botulinum	Clostridium botulinum	MFBjulcb1
GCA_003013675	SSU_1	5	Rhodococcus hoagii	Rhodococcus hoagii	DSSKP-R-001
GCA_003013695	SSU_1	3	Melaminivora sp. SC2-7	Melaminivora sp.	SC2-7
GCA_003014775	SSU_2:SSU_3:SSU_1:SSU_4:SSU_5	4:3:1:1:1	Aeromonas hydrophila	Aeromonas hydrophila	KN-Mc-1R2
GCA_003015125	SSU_1	2	Caulobacter segnis	Caulobacter segnis	TK0059
GCA_003015145	SSU_1	1	Candidatus Phycorickettsia trachydisci	Candidatus Phycorickettsia	CCALA 838
GCA_003015165	SSU_1:SSU_5:SSU_8:SSU_4:SSU_6:SSU_3:SSU_2:SSU_7	2:2:1:1:1:1:1:1	Aeromonas rivipollensis	Aeromonas rivipollensis	KN-Mc-11N1
GCA_003015185	SSU_1	2	Ahniella affigens	Ahniella affigens	D13
GCA_003015225	SSU_1	2	Synechocystis sp. IPPAS B-1465	Synechocystis sp.	IPPAS B-1465
GCA_003015715	SSU_1	2	Xanthomonas vasicola pv. vasculorum	Xanthomonas vasicola	SAM119
GCA_003017145	SSU_1	1	Clostridium botulinum	Clostridium botulinum	Mfbjulcb8
GCA_003017195	SSU_1	1	Clostridium botulinum	Clostridium botulinum	Mfbjulcb6
GCA_003017225	SSU_1	1	Clostridium botulinum	Clostridium botulinum	RF5
GCA_003017265	SSU_1	1	Clostridium botulinum	Clostridium botulinum	MAP 5
GCA_003017335	SSU_1:SSU_2:SSU_3	4:4:1	Clostridium botulinum	Clostridium botulinum	Mfbjulcb3
GCA_003017375	SSU_1:SSU_4:SSU_5:SSU_6:SSU_3:SSU_2:SSU_7	1:1:1:1:1:1:1	Escherichia coli	Escherichia coli	2015C-3163
GCA_003017455	SSU_6:SSU_1:SSU_4:SSU_5:SSU_3:SSU_2	2:1:1:1:1:1	Escherichia coli	Escherichia coli	2015C-3101
GCA_003017555	SSU_6:SSU_1:SSU_4:SSU_5:SSU_3:SSU_2	2:1:1:1:1:1	Escherichia coli	Escherichia coli	2015C-3108
GCA_003017615	SSU_2:SSU_1:SSU_4:SSU_5:SSU_6:SSU_3	2:1:1:1:1:1	Escherichia coli	Escherichia coli	2014C-4135
GCA_003017765	SSU_6:SSU_1:SSU_4:SSU_5:SSU_3:SSU_2	2:1:1:1:1:1	Escherichia coli	Escherichia coli	2013C-3033
GCA_003017805	SSU_1:SSU_2	5:2	Escherichia coli	Escherichia coli	2013C-4830
GCA_003017915	SSU_3:SSU_2:SSU_1:SSU_4:SSU_5	2:2:1:1:1	Escherichia coli	Escherichia coli	2014C-3051
GCA_003017935	SSU_4:SSU_1:SSU_5:SSU_6:SSU_3:SSU_2	2:1:1:1:1:1	Escherichia coli	Escherichia coli	2015C-3121
GCA_003017955	SSU_6:SSU_1:SSU_4:SSU_5:SSU_3:SSU_2	2:1:1:1:1:1	Escherichia coli	Escherichia coli	2014C-3946
GCA_003017975	SSU_6:SSU_1:SSU_4:SSU_5:SSU_3:SSU_2	2:1:1:1:1:1	Escherichia coli	Escherichia coli	2013C-4361
GCA_003017995	SSU_1:SSU_4:SSU_5:SSU_6:SSU_3:SSU_2:SSU_7	1:1:1:1:1:1:1	Escherichia coli	Escherichia coli	2014C-3307
GCA_003018015	SSU_4:SSU_1:SSU_5:SSU_3:SSU_2	3:1:1:1:1	Escherichia coli	Escherichia coli	2013C-4404
GCA_003018035	SSU_2:SSU_1:SSU_4:SSU_5:SSU_6:SSU_3	2:1:1:1:1:1	Escherichia coli	Escherichia coli	2015C-4944
GCA_003018055	SSU_2:SSU_1:SSU_4:SSU_5:SSU_6:SSU_3	2:1:1:1:1:1	Escherichia coli	Escherichia coli	2013C-3252
GCA_003018075	SSU_1:SSU_4:SSU_3:SSU_2	4:1:1:1	Escherichia coli	Escherichia coli	2013C-3492
GCA_003018095	SSU_4:SSU_5:SSU_1:SSU_3:SSU_2	2:2:1:1:1	Escherichia coli	Escherichia coli	2014C-3338
GCA_003018115	SSU_1:SSU_4:SSU_5:SSU_6:SSU_3:SSU_2:SSU_7	1:1:1:1:1:1:1	Escherichia coli	Escherichia coli	88-3493
GCA_003018135	SSU_1:SSU_4:SSU_5:SSU_6:SSU_3:SSU_2	2:1:1:1:1:1	Escherichia coli	Escherichia coli	2014C-3050
GCA_003018155	SSU_3:SSU_1:SSU_2	4:2:1	Escherichia coli	Escherichia coli	2014C-3061
GCA_003018195	SSU_1:SSU_4:SSU_5:SSU_6:SSU_3:SSU_2:SSU_7	1:1:1:1:1:1:1	Escherichia coli	Escherichia coli	89-3156
GCA_003018215	SSU_1:SSU_4:SSU_5:SSU_6:SSU_3:SSU_2	2:1:1:1:1:1	Escherichia coli	Escherichia coli	2015C-3905
GCA_003018235	SSU_2:SSU_1:SSU_4:SSU_5:SSU_6:SSU_3	2:1:1:1:1:1	Escherichia coli	Escherichia coli	2012C-4221
GCA_003018255	SSU_5:SSU_3:SSU_1:SSU_4:SSU_2	2:2:1:1:1	Escherichia coli	Escherichia coli	2012C-4502
GCA_003018275	SSU_1:SSU_4:SSU_2:SSU_3	2:2:2:1	Escherichia coli	Escherichia coli	2014C-3097
GCA_003018315	SSU_3:SSU_2:SSU_1:SSU_4:SSU_5	2:2:1:1:1	Escherichia coli	Escherichia coli	2013C-3513
GCA_003018335	SSU_1:SSU_4:SSU_5:SSU_3:SSU_2	2:2:1:1:1	Escherichia coli	Escherichia coli	2013C-4282
GCA_003018355	SSU_1:SSU_4:SSU_5:SSU_6:SSU_3:SSU_2	2:1:1:1:1:1	Escherichia coli	Escherichia coli	00-3076
GCA_003018375	SSU_5:SSU_1:SSU_4:SSU_6:SSU_3:SSU_2	2:1:1:1:1:1	Escherichia coli	Escherichia coli	2013C-4974
GCA_003018395	SSU_3:SSU_2:SSU_1	4:2:1	Escherichia coli	Escherichia coli	2014C-3011
GCA_003018435	SSU_1:SSU_4:SSU_5:SSU_6:SSU_3:SSU_2:SSU_7	1:1:1:1:1:1:1	Escherichia coli	Escherichia coli	88-3510
GCA_003018455	SSU_2:SSU_1:SSU_4:SSU_5:SSU_6:SSU_3	2:1:1:1:1:1	Escherichia coli	Escherichia coli	97-3250
GCA_003018475	SSU_1:SSU_4:SSU_5:SSU_6:SSU_3:SSU_2:SSU_7	1:1:1:1:1:1:1	Escherichia coli	Escherichia coli	2015C-4136CT1
GCA_003018495	SSU_3:SSU_1:SSU_4:SSU_5:SSU_2	3:1:1:1:1	Escherichia coli	Escherichia coli	2015C-4498
GCA_003018535	SSU_6:SSU_1:SSU_4:SSU_5:SSU_3:SSU_2	2:1:1:1:1:1	Escherichia coli	Escherichia coli	2013C-4081
GCA_003018555	SSU_4:SSU_1:SSU_5:SSU_6:SSU_3:SSU_2	2:1:1:1:1:1	Escherichia coli	Escherichia coli	2013C-4225
GCA_003018575	SSU_1:SSU_4:SSU_5:SSU_3:SSU_2	3:1:1:1:1	Escherichia coli	Escherichia coli	2013C-4538
GCA_003018595	SSU_3:SSU_1:SSU_4:SSU_5:SSU_6:SSU_2	2:1:1:1:1:1	Escherichia coli	Escherichia coli	2014C-3003
GCA_003018615	SSU_4:SSU_1:SSU_5:SSU_6:SSU_3:SSU_2	2:1:1:1:1:1	Escherichia coli	Escherichia coli	2012EL-2448
GCA_003018635	SSU_1:SSU_4:SSU_5:SSU_6:SSU_3:SSU_2:SSU_7	1:1:1:1:1:1:1	Escherichia coli	Escherichia coli	86-3153
GCA_003018655	SSU_3:SSU_1:SSU_2	5:1:1	Escherichia coli	Escherichia coli	2013C-3181
GCA_003018695	SSU_2:SSU_1:SSU_3	4:2:1	Escherichia coli	Escherichia coli	2015C-3107
GCA_003018715	SSU_4:SSU_1:SSU_5:SSU_6:SSU_3:SSU_2	2:1:1:1:1:1	Escherichia coli	Escherichia coli	2013C-3277
GCA_003018755	SSU_1:SSU_4:SSU_5:SSU_6:SSU_3:SSU_2:SSU_7	1:1:1:1:1:1:1	Escherichia coli	Escherichia coli	2014C-4587
GCA_003018775	SSU_3:SSU_1:SSU_4:SSU_5:SSU_2	3:1:1:1:1	Escherichia coli	Escherichia coli	2014C-3655
GCA_003018795	SSU_1:SSU_4:SSU_5:SSU_6:SSU_3:SSU_2:SSU_7	1:1:1:1:1:1:1	Escherichia coli	Escherichia coli	2012C-4606
GCA_003018815	SSU_1:SSU_2:SSU_4:SSU_5:SSU_3	2:2:1:1:1	Escherichia coli	Escherichia coli	2013C-4991
GCA_003018855	SSU_1:SSU_4:SSU_5:SSU_6:SSU_3:SSU_2:SSU_7	1:1:1:1:1:1:1	Escherichia coli	Escherichia coli	05-3629
GCA_003018875	SSU_6:SSU_1:SSU_4:SSU_5:SSU_3:SSU_2	2:1:1:1:1:1	Escherichia coli	Escherichia coli	2013C-3250
GCA_003018895	SSU_1:SSU_4:SSU_5:SSU_6:SSU_3:SSU_2:SSU_7	1:1:1:1:1:1:1	Escherichia coli	Escherichia coli	2014C-3057
GCA_003018915	SSU_1:SSU_3:SSU_4:SSU_5:SSU_2	2:2:1:1:1	Escherichia coli	Escherichia coli	2011C-4251
GCA_003018935	SSU_2:SSU_1:SSU_3	4:2:1	Escherichia coli	Escherichia coli	2014C-3599
GCA_003018955	SSU_2:SSU_1:SSU_4:SSU_5:SSU_6:SSU_3	2:1:1:1:1:1	Escherichia coli	Escherichia coli	2013C-4390
GCA_003018995	SSU_3:SSU_1:SSU_4:SSU_5:SSU_2	3:1:1:1:1	Escherichia coli	Escherichia coli	95-3192
GCA_003019015	SSU_1:SSU_2	5:2	Escherichia coli	Escherichia coli	88-3001
GCA_003019035	SSU_1:SSU_4:SSU_5:SSU_6:SSU_3:SSU_2	2:1:1:1:1:1	Escherichia coli	Escherichia coli	2014C-3075
GCA_003019055	SSU_2:SSU_1:SSU_4:SSU_3	4:1:1:1	Escherichia coli	Escherichia coli	2014C-4423
GCA_003019075	SSU_2:SSU_1:SSU_4:SSU_3	4:1:1:1	Escherichia coli	Escherichia coli	90-3040
GCA_003019095	SSU_2:SSU_1	6:1	Escherichia coli	Escherichia coli	95-3322
GCA_003019115	SSU_1:SSU_4:SSU_5:SSU_6:SSU_3:SSU_2:SSU_7	1:1:1:1:1:1:1	Escherichia coli	Escherichia coli	07-4299
GCA_003019155	SSU_5:SSU_1:SSU_4:SSU_6:SSU_3:SSU_2	2:1:1:1:1:1	Escherichia coli	Escherichia coli	2013C-3264
GCA_003019175	SSU_4:SSU_1:SSU_5:SSU_6:SSU_3:SSU_2	2:1:1:1:1:1	Escherichia coli	Escherichia coli	2013C-4187
GCA_003019195	SSU_1:SSU_3:SSU_4:SSU_5:SSU_2	2:2:1:1:1	Escherichia coli	Escherichia coli	2014C-4705
GCA_003019215	SSU_1:SSU_4:SSU_5:SSU_6:SSU_3:SSU_2:SSU_7	1:1:1:1:1:1:1	Escherichia coli	Escherichia coli	2013C-3342
GCA_003019235	SSU_2:SSU_3:SSU_1:SSU_4	3:2:1:1	Escherichia coli	Escherichia coli	2015C-3125
GCA_003019255	SSU_3:SSU_1:SSU_4:SSU_2	4:1:1:1	Staphylococcus kloosii	Staphylococcus kloosii	ATCC 43959
GCA_003019275	SSU_1:SSU_3:SSU_2	2:2:2	Staphylococcus muscae	Staphylococcus muscae	ATCC 49910
GCA_003019295	SSU_1	5	Fusobacterium nucleatum subsp. nucleatum	Fusobacterium nucleatum	25586
GCA_003019315	SSU_2:SSU_1	6:2	Fusobacterium mortiferum ATCC 9817	Fusobacterium mortiferum	ATCC 9817
GCA_003019655	SSU_2:SSU_1	6:1	Fusobacterium varium ATCC 27725	Fusobacterium varium	ATCC 27725
GCA_003019675	SSU_1	7	Fusobacterium ulcerans	Fusobacterium ulcerans	ATCC 49185
GCA_003019695	SSU_1:SSU_2	4:2	Fusobacterium gonidiaformans ATCC 25563	Fusobacterium gonidiaformans	ATCC 25563
GCA_003019715	SSU_2:SSU_1	5:1	Fusobacterium necrophorum subsp. funduliforme	Fusobacterium necrophorum	1_1_36S
GCA_003019735	SSU_1:SSU_2	1:1	Microcystis sp. MC19	Microcystis sp.	MC19
GCA_003019755	SSU_1:SSU_3:SSU_2	2:2:1	Fusobacterium periodonticum	Fusobacterium periodonticum	2_1_31
GCA_003019785	SSU_3:SSU_1:SSU_4:SSU_2	2:1:1:1	Fusobacterium nucleatum subsp. nucleatum ATCC 23726	Fusobacterium nucleatum	ATCC 23726
GCA_003019815	SSU_1	3	Variovorax sp. PMC12	Variovorax sp.	PMC12
GCA_003019855	SSU_6:SSU_9:SSU_8:SSU_1:SSU_4:SSU_5:SSU_3:SSU_2:SSU_7	5:1:1:1:1:1:1:1:1	Plesiomonas shigelloides	Plesiomonas shigelloides	MS-17-188
GCA_003019925	SSU_1:SSU_4:SSU_5:SSU_6:SSU_3:SSU_2:SSU_7	1:1:1:1:1:1:1	Pluralibacter gergoviae	Pluralibacter gergoviae	FDAARGOS_186
GCA_003019945	SSU_4:SSU_1:SSU_3:SSU_2	3:1:1:1	Burkholderia vietnamiensis	Burkholderia vietnamiensis	FDAARGOS_239
GCA_003019965	SSU_4:SSU_1:SSU_3:SSU_2	2:1:1:1	Burkholderia multivorans	Burkholderia multivorans	FDAARGOS_246
GCA_003019985	SSU_2:SSU_1:SSU_4:SSU_5:SSU_3	3:2:1:1:1	Oceanobacillus iheyensis	Oceanobacillus iheyensis	CHQ24
GCA_003020005	SSU_1:SSU_4:SSU_5:SSU_3:SSU_2	1:1:1:1:1	Lactobacillus plantarum	Lactobacillus plantarum	K25
GCA_003020025	SSU_1:SSU_2	2:2	Burkholderia thailandensis	Burkholderia thailandensis	FDAARGOS_237
GCA_003020045	SSU_1	3	Ethanoligenens harbinense YUAN-3	Ethanoligenens harbinense	YUAN-3
GCA_003020185	SSU_1	4	Burkholderia thailandensis	Burkholderia thailandensis	FDAARGOS_238
GCA_003020685	SSU_5:SSU_1:SSU_4:SSU_3:SSU_2	2:1:1:1:1	Enterococcus faecium	Enterococcus faecium	AUSMDU00004167
GCA_003020705	SSU_1:SSU_4:SSU_5:SSU_6:SSU_3:SSU_2	1:1:1:1:1:1	Enterococcus faecium	Enterococcus faecium	AUSMDU00004055
GCA_003020725	SSU_4:SSU_1:SSU_3:SSU_2	3:1:1:1	Enterococcus faecium	Enterococcus faecium	AUSMDU00004028
GCA_003020745	SSU_1:SSU_4:SSU_5:SSU_6:SSU_3:SSU_2	1:1:1:1:1:1	Enterococcus faecium	Enterococcus faecium	AUSMDU00004024
GCA_003020765	SSU_1:SSU_4:SSU_5:SSU_6:SSU_3:SSU_2	1:1:1:1:1:1	Enterococcus faecium	Enterococcus faecium	AUSMDU00004142
GCA_003020825	SSU_3:SSU_1:SSU_4:SSU_2	5:1:1:1	Klebsiella quasipneumoniae	Klebsiella quasipneumoniae	KPC142
GCA_003020845	SSU_2:SSU_8:SSU_1:SSU_4:SSU_5:SSU_6:SSU_3:SSU_7	7:1:1:1:1:1:1:1	Bacillus cereus	Bacillus cereus	FORC60
GCA_003020885	SSU_1:SSU_4:SSU_5:SSU_6:SSU_3:SSU_2:SSU_7	1:1:1:1:1:1:1	Escherichia coli	Escherichia coli	MS7163
GCA_003024155	SSU_1	3	Gramella sp. SH35	Gramella sp.	SH35
GCA_003025345	SSU_1:SSU_2	3:1	Pseudomonas aeruginosa	Pseudomonas aeruginosa	CR1
GCA_003025365	SSU_1	6	Streptococcus pyogenes	Streptococcus pyogenes	TJ11-001
GCA_003028315	SSU_1	4	Neisseria mucosa	Neisseria mucosa	ATCC 19696
GCA_003028335	SSU_1:SSU_2	3:1	Pseudomonas aeruginosa	Pseudomonas aeruginosa	MRSN12280
GCA_003028835	SSU_3:SSU_1:SSU_4:SSU_2	2:1:1:1	Lactobacillus sp. D1501	Lactobacillus sp.	D1501
GCA_003028855	SSU_1:SSU_4:SSU_5:SSU_6:SSU_3:SSU_2	2:1:1:1:1:1	Massilia armeniaca	Massilia armeniaca	ZMN-3
GCA_003029495	SSU_1:SSU_3:SSU_2	3:2:1	Acinetobacter baumannii	Acinetobacter baumannii	AR_0056
GCA_003029645	SSU_1:SSU_3:SSU_2	4:1:1	Staphylococcus aureus	Staphylococcus aureus	CFSAN064038
GCA_003030025	SSU_4:SSU_3:SSU_1:SSU_5:SSU_2	2:2:1:1:1	Escherichia coli	Escherichia coli	CFSAN064036
GCA_003030045	SSU_8:SSU_1:SSU_4:SSU_5:SSU_6:SSU_3:SSU_2:SSU_7	1:1:1:1:1:1:1:1	Klebsiella pneumoniae	Klebsiella pneumoniae	CFSAN054110
GCA_003030065	SSU_1:SSU_3:SSU_2	4:1:1	Staphylococcus aureus	Staphylococcus aureus	CFSAN018749
GCA_003030085	SSU_1:SSU_4:SSU_5:SSU_3:SSU_2	2:1:1:1:1	Staphylococcus aureus	Staphylococcus aureus	CFSAN064037
GCA_003030105	SSU_1:SSU_4:SSU_5:SSU_6:SSU_3:SSU_2:SSU_7	1:1:1:1:1:1:1	Salmonella enterica	Salmonella enterica	CFSAN064034
GCA_003030125	SSU_2:SSU_1:SSU_4:SSU_5:SSU_6:SSU_3	2:1:1:1:1:1	Salmonella enterica	Salmonella enterica	CFSAN064033
GCA_003030145	SSU_1:SSU_5:SSU_4:SSU_3:SSU_2	3:2:1:1:1	Klebsiella pneumoniae	Klebsiella pneumoniae	CFSAN054111
GCA_003030165	SSU_1:SSU_3:SSU_2	3:2:1	Listeria monocytogenes	Listeria monocytogenes	CFSAN054109
GCA_003030185	SSU_1	3	Campylobacter jejuni	Campylobacter jejuni	CFSAN054107
GCA_003030205	SSU_2:SSU_1	2:1	Campylobacter coli	Campylobacter coli	CFSAN054106
GCA_003030225	SSU_2:SSU_1:SSU_3	4:1:1	Staphylococcus aureus	Staphylococcus aureus	CFSAN018750
GCA_003030245	SSU_2:SSU_1:SSU_4:SSU_5:SSU_3	3:1:1:1:1	Escherichia coli	Escherichia coli	CFSAN018748
GCA_003030265	SSU_1:SSU_4:SSU_5:SSU_6:SSU_3:SSU_2:SSU_7	1:1:1:1:1:1:1	Salmonella enterica subsp. enterica serovar Concord	Salmonella enterica	CFSAN018747
